Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary.y
Nicky Lopez,565,NA,4.35954999923706,4.4,NA,NA
Trevor Rogers,NA,133,4.1983642578125,4,NA,NA
Jonathan India,631,NA,3.94611859321594,3.9,NA,NA
Luis Garcia A,NA,155.1,3.14091563224792,3.1,NA,NA
Patrick Wisdom,375,NA,2.25600504875183,2.3,NA,NA
Logan Gilbert,NA,119.1,2.23479151725769,2.2,NA,NA
Santiago Espinal,246,NA,2.17764782905579,2.2,NA,NA
Frank Schwindel,259,NA,2.06501318514347,2.1,NA,NA
Eric Lauer,NA,118.2,1.6843353509903,2,NA,NA
Alek Manoah,NA,111.2,2.00583434104919,2,NA,NA
Tyler Stephenson,402,NA,1.97242784500122,2,NA,NA
Daulton Varsho,315,NA,1.9665055274963401,2,NA,NA
Akil Baddoo,461,NA,1.92129182815552,1.9,NA,NA
Chas McCormick,320,NA,1.89014494419098,1.9,NA,NA
Alcides Escobar,349,NA,1.70847654342651,1.7,NA,NA
Michael Kopech,NA,69.1,1.69052910804749,1.7,NA,NA
Nestor Cortes,NA,93,1.67872536182404,1.7,NA,NA
Rafael Ortega,330,NA,1.64335465431213,1.6,NA,NA
Jazz Chisholm Jr.,507,NA,1.59379959106445,1.6,NA,NA
LaMonte Wade Jr.,381,NA,1.57476270198822,1.6,NA,NA
Nathaniel Lowe,642,NA,1.55721402168274,1.6,NA,NA
Patrick Sandoval,NA,87,1.51186871528625,1.5,NA,NA
Tyrone Taylor,271,NA,1.45002472400665,1.5,NA,NA
Paul Sewald,NA,64.2,1.44368398189545,1.4,NA,NA
Reese McGuire,217,NA,1.34814190864563,1.3,NA,NA
Zach Thompson,NA,75,1.27827203273773,1.3,NA,NA
Jose Suarez,NA,98.1,1.26547944545746,1.3,NA,NA
Abraham Toro,375,NA,1.23133125901222,1.2,NA,NA
Paolo Espino,NA,109.2,1.14922082424164,1.2,NA,NA
Jake Meyers,163,NA,1.06426763534546,1.1,NA,NA
Jose Iglesias,511,NA,1.04190999269485,1,NA,NA
Eric Haase,381,NA,1.03688943386078,1,NA,NA
Andy Ibanez,272,NA,1.02655136585236,1,NA,NA
Bailey Ober,NA,92.1,0.968131065368652,1,NA,NA
Jake Rogers,127,NA,1.00929415225983,1,NA,NA
Brandon Marsh,260,NA,0.962773859500885,1,NA,NA
Anthony Bender,NA,61.1,0.982689797878265,1,NA,NA
Tyler Wells,NA,57,0.947070479393005,0.9,NA,NA
Tylor Megill,NA,89.2,0.634761989116669,0.9,NA,NA
Carlos Hernandez,NA,85.2,0.965376496315002,0.9,NA,NA
Thairo Estrada,132,NA,0.85272628068924,0.9,NA,NA
Matt Manning,NA,85.1,0.860271036624908,0.8,NA,NA
Nico Hoerner,170,NA,0.844907999038696,0.8,NA,NA
Bryan De La Cruz,219,NA,0.778517127037048,0.8,NA,NA
Austin Warren,NA,20.1,0.749767065048218,0.7,NA,NA
Joe Mantiply,NA,39.2,0.694071292877197,0.7,NA,NA
Luis Garcia C,NA,33.1,0.689749836921692,0.7,NA,NA
Kyle Muller,NA,36.2,0.666456758975983,0.7,NA,NA
Luis Patino,NA,77.1,0.64838707447052,0.6,NA,NA
Paul Fry,NA,47.1,0.630249202251434,0.6,NA,NA
Nick Sandlin,NA,33.2,0.618631064891815,0.6,NA,NA
Tres Barrera,107,NA,0.616886615753174,0.6,NA,NA
Tony Gonsolin,NA,55.2,0.499010026454926,0.6,NA,NA
Keegan Akin,NA,95,0.616945564746857,0.6,NA,NA
Dietrich Enns,NA,22.1,0.592721164226532,0.6,NA,NA
Lars Nootbaar,124,NA,0.588388442993164,0.6,NA,NA
Jack Mayfield,290,NA,0.582548148930073,0.6,NA,NA
Glenn Otto,NA,23.1,0.573386907577515,0.6,NA,NA
Taylor Clarke,NA,43.1,0.533252418041229,0.6,NA,NA
Joe Ryan,NA,26.2,0.58667653799057,0.6,NA,NA
Nick Maton,131,NA,0.548671662807465,0.6,NA,NA
Oscar Mercado,238,NA,0.560611307621002,0.6,NA,NA
Art Warren,NA,21,0.555327653884888,0.6,NA,NA
Noe Ramirez,NA,36,0.545733094215393,0.5,NA,NA
Lane Thomas,264,NA,0.539699643850327,0.5,NA,NA
Daniel Lynch,NA,68,0.534636259078979,0.5,NA,NA
Chris Rodriguez,NA,29.2,0.533743500709534,0.5,NA,NA
Yonny Hernandez,166,NA,0.529986619949341,0.5,NA,NA
Dillon Peters,NA,26.2,0.530115604400635,0.5,NA,NA
Domingo Tapia,NA,33.2,0.515855084173381,0.5,NA,NA
Vladimir Gutierrez,NA,114,0.612468838691711,0.5,NA,NA
Trayce Thompson,35,NA,0.489261656999588,0.5,NA,NA
Jose Quijada,NA,25.2,0.485580623149872,0.5,NA,NA
Jordan Luplow,193,NA,0.546244218945503,0.5,NA,NA
Cam Gallagher,124,NA,0.471421182155609,0.5,NA,NA
Spencer Howard,NA,49.2,0.343896798789501,0.5,NA,NA
Taylor Walls,176,NA,0.454519718885422,0.5,NA,NA
Louis Head,NA,35,0.449289619922638,0.4,NA,NA
Yu Chang,251,NA,0.437353700399399,0.4,NA,NA
Erik Swanson,NA,35.1,0.432218670845032,0.4,NA,NA
Sam Hentges,NA,68.2,0.442280799150467,0.4,NA,NA
Reiver Sanmartin,NA,11.2,0.501609027385712,0.4,NA,NA
Luis Gil,NA,29.1,0.427425801753998,0.4,NA,NA
Gavin Sheets,179,NA,0.422199368476868,0.4,NA,NA
Mitch White,NA,46.2,0.530055582523346,0.4,NA,NA
Conner Greene,NA,25.1,0.40225513651967,0.4,NA,NA
Aaron Ashby,NA,31.2,0.366372853517532,0.4,NA,NA
Pablo Reyes,87,NA,0.393248081207275,0.4,NA,NA
Tyler Gilbert,NA,40,0.5148646235466,0.4,NA,NA
Joe Barlow,NA,29,0.386538088321686,0.4,NA,NA
Eli Morgan,NA,89.1,0.406545877456665,0.4,NA,NA
Brad Wieck,NA,17,0.379596292972565,0.4,NA,NA
Chris Ellis,NA,29.1,0.375001944601536,0.4,NA,NA
Kyle Isbel,83,NA,0.370531439781189,0.4,NA,NA
Kodi Whitley,NA,25.1,0.369141280651093,0.4,NA,NA
Kervin Castro,NA,13.1,0.361135065555573,0.4,NA,NA
Jharel Cotton,NA,30.2,0.349277794361115,0.3,NA,NA
Hector Santiago,NA,26.1,0.344037979841232,0.3,NA,NA
Nick Fortes,34,NA,0.342617928981781,0.3,NA,NA
Kyle Funkhouser,NA,68.1,0.340728223323822,0.3,NA,NA
Keibert Ruiz,96,NA,0.34072102420032,0.3,NA,NA
Humberto Castellanos,NA,45.2,0.105548426508904,0.3,NA,NA
Estevan Florial,25,NA,0.320851475000381,0.3,NA,NA
Bobby Bradley,279,NA,0.318226724863052,0.3,NA,NA
Ernie Clement,133,NA,0.312116205692291,0.3,NA,NA
Jake Burger,42,NA,0.307125061750412,0.3,NA,NA
Max Kranick,NA,38.2,0.462085574865341,0.3,NA,NA
Andrew Vaughn,469,NA,0.304892539978027,0.3,NA,NA
John Hicks,31,NA,0.300500780344009,0.3,NA,NA
Sergio Alcantara,255,NA,0.297676354646683,0.3,NA,NA
Jose Siri,49,NA,0.298053205013275,0.3,NA,NA
Geraldo Perdomo,37,NA,0.292770475149155,0.3,NA,NA
Breyvic Valera,97,NA,0.291127592325211,0.3,NA,NA
Jimmy Herget,NA,18.2,0.286437131464481,0.3,NA,NA
Derek Hill,150,NA,0.284872114658356,0.3,NA,NA
Jake Brentz,NA,64,0.238376185297966,0.3,NA,NA
Danny Coulombe,NA,34.1,0.293052405118942,0.3,NA,NA
Delino DeShields,58,NA,0.28007099032402,0.3,NA,NA
Braxton Garrett,NA,34,0.252082020044327,0.3,NA,NA
Sean Newcomb,NA,32.1,0.299395322799683,0.3,NA,NA
Bailey Falter,NA,33.2,0.325964152812958,0.3,NA,NA
Jose Rondon,90,NA,0.268448531627655,0.3,NA,NA
Jake McCarthy,70,NA,0.259503096342087,0.3,NA,NA
Alex Kirilloff,231,NA,0.255544900894165,0.3,NA,NA
Brandon Bielak,NA,50,0.248379588127136,0.2,NA,NA
Jake Faria,NA,32.2,0.176051110029221,0.2,NA,NA
Zach Pop,NA,54.2,0.26294994354248,0.2,NA,NA
Kyle Garlick,107,NA,0.237918004393578,0.2,NA,NA
Ryan Burr,NA,36.2,0.23414920270443,0.2,NA,NA
Connor Wong,14,NA,0.232914805412292,0.2,NA,NA
Kris Bubic,NA,130,0.286834329366684,0.2,NA,NA
Juan Minaya,NA,40,0.229231178760529,0.2,NA,NA
Tayler Saucedo,NA,25.2,0.222283914685249,0.2,NA,NA
Anthony Castro,NA,24.2,0.220875531435013,0.2,NA,NA
Cesar Valdez,NA,46,0.218817323446274,0.2,NA,NA
Luke Maile,34,NA,0.278134256601334,0.2,NA,NA
Tony Santillan,NA,43.1,0.191311895847321,0.2,NA,NA
Brandon Drury,88,NA,0.302360236644745,0.2,NA,NA
Sean Reid-Foley,NA,20.2,0.116000294685364,0.2,NA,NA
Dylan Coleman,NA,6.1,0.206484526395798,0.2,NA,NA
Grayson Greiner,82,NA,0.199496358633041,0.2,NA,NA
Max Schrock,134,NA,0.15636533498764,0.2,NA,NA
Sammy Long,NA,40.2,0.230179935693741,0.2,NA,NA
Sean Poppen,NA,22.2,0.198951579630375,0.2,NA,NA
Richard Lovelady,NA,20.2,0.186303302645683,0.2,NA,NA
Trevor Larnach,301,NA,0.185409128665924,0.2,NA,NA
Austin Allen,8,NA,0.18212765455246,0.2,NA,NA
Anthony Gose,NA,6.2,0.179186537861824,0.2,NA,NA
Danny Mendick,186,NA,0.175595819950104,0.2,NA,NA
Jose De Leon,NA,18.1,0.145477771759033,0.2,NA,NA
Stephen Ridings,NA,5,0.176765128970146,0.2,NA,NA
Gabe Speier,NA,7.2,0.176129966974258,0.2,NA,NA
Scott Effross,NA,14.2,0.186547815799713,0.2,NA,NA
Angel Zerpa,NA,5,0.173846438527107,0.2,NA,NA
Connor Overton,NA,15.1,0.110993690788746,0.2,NA,NA
Jake Cousins,NA,30,0.172060295939445,0.2,NA,NA
Alfonso Rivas,49,NA,0.167527794837952,0.2,NA,NA
Seth Beer,10,NA,0.164546862244606,0.2,NA,NA
Andrew Wantz,NA,27.1,0.162762030959129,0.2,NA,NA
Ronald Bolanos,NA,6.1,0.162417635321617,0.2,NA,NA
Jake Reed,NA,10,0.170395976863801,0.2,NA,NA
Ben Rortvedt,98,NA,0.159512937068939,0.2,NA,NA
Conner Menez,NA,14,0.154312238097191,0.2,NA,NA
Tyler Nevin,18,NA,0.153564736247063,0.2,NA,NA
Gabe Klobosits,NA,11.1,0.152119353413582,0.2,NA,NA
Fernando Abad,NA,17.2,0.147422298789024,0.1,NA,NA
AJ Puk,NA,13.1,0.146771714091301,0.1,NA,NA
Drew Anderson,NA,22,0.14616784453392,0.1,NA,NA
Andrew Vasquez,NA,1.2,0.145380333065987,0.1,NA,NA
Josh Lowe,2,NA,0.143936395645142,0.1,NA,NA
Jhon Romero,NA,4,0.143234625458717,0.1,NA,NA
Austin Dean,38,NA,0.141281649470329,0.1,NA,NA
Nick Vincent,NA,12.2,0.138361722230911,0.1,NA,NA
Kirby Snead,NA,7.2,0.135827392339706,0.1,NA,NA
Roansy Contreras,NA,3,0.132418602705002,0.1,NA,NA
Corey Oswalt,NA,10.1,0.152552947402,0.1,NA,NA
Daniel Johnson,81,NA,0.130662426352501,0.1,NA,NA
Nick Nelson,NA,14.1,0.130480870604515,0.1,NA,NA
Peter Solomon,NA,14,0.128774747252464,0.1,NA,NA
Jordan Yamamoto,NA,6.2,0.0741975381970406,0.1,NA,NA
Nick Gordon,216,NA,0.121526978909969,0.1,NA,NA
Steven Okert,NA,36,0.137657523155212,0.1,NA,NA
Will Vest,NA,35,0.114268220961094,0.1,NA,NA
Jo Adell,140,NA,0.112726181745529,0.1,NA,NA
Seby Zavala,104,NA,0.111999899148941,0.1,NA,NA
Webster Rivas,77,NA,0.109175145626068,0.1,NA,NA
Edwin Uceta,NA,20.1,0.0888300389051437,0.1,NA,NA
John Schreiber,NA,3,0.103718221187592,0.1,NA,NA
Tommy Milone,NA,14,0.103159703314304,0.1,NA,NA
Griffin Canning,NA,62.2,0.125710994005203,0.1,NA,NA
Cal Raleigh,148,NA,0.0997406765818596,0.1,NA,NA
Oneil Cruz,9,NA,0.0987958461046219,0.1,NA,NA
Rene Rivera,78,NA,0.0987728349864483,0.1,NA,NA
Alex De Goti,7,NA,0.0973006635904312,0.1,NA,NA
Ryan Sherriff,NA,14.2,0.0968549102544785,0.1,NA,NA
Deivi Garcia,NA,8.1,0.092544712126255,0.1,NA,NA
Bryan Abreu,NA,36,0.0902998894453049,0.1,NA,NA
Miguel Del Pozo,NA,5.1,0.0895598828792572,0.1,NA,NA
Victor Gonzalez,NA,35.1,0.0893628299236298,0.1,NA,NA
